104727,497,760
105086,760,492
105087,760,494
105109,760,493
1229128,579,760
1507673,468,760
1507799,466,760
1508219,491,759
1558029,760,596
1635948,760,586
1635949,618,760
1635950,760,596
1691046,591,760
1691049,587,760
1691067,583,760
1691068,760,587
1691072,582,760
1691076,760,587
1823525,760,620
1823529,760,620
1823530,760,617
1823531,610,760
1823547,760,619
1823555,760,619
1823556,760,619
1823557,760,618
1823558,760,619
1823559,760,619
1823564,760,623
1823565,609,760
1823566,611,760
1823567,760,620
1823568,760,618
1823569,760,619
1823570,760,621
1823571,760,619
1823572,760,620
1823573,760,619
2040731,760,609
2040734,760,621
2040737,760,596
2040741,614,760
2040755,760,561
2040759,760,567
2040760,760,553
2040762,760,570
2040765,760,543
2040767,760,555
2040769,760,560
2040775,760,557
2040776,760,512
2040777,760,576
2040778,760,557
2040835,760,617
2040848,760,619
2040849,760,621
2040850,760,619
2040851,760,618
2040852,760,618
2040853,760,616
2040854,760,617
2040855,760,611
2040856,760,614
2040857,760,617
2040858,760,617
2040859,760,616
2040860,760,613
2040861,760,616
2040862,760,615
2040863,760,616
2040864,760,622
2040865,760,611
2040866,760,617
2040867,760,613
2040868,760,617
2040869,760,616
2040870,760,616
2040871,760,617
2040872,760,617
2040873,760,618
416434,760,669
416435,760,655
416436,760,671
416437,760,649
416440,760,667
416441,759,659
416442,760,638
416444,760,638
416445,760,634
416447,760,650
416448,760,632
416449,760,649
416454,760,646
416458,760,652
416459,760,642
416461,760,646
416462,760,638
416463,760,659
416467,760,639
416468,760,656
416469,760,635
416471,760,631
416473,760,634
416474,760,649
416475,760,632
416476,760,647
416477,760,642
416478,760,646
417141,760,651
417142,760,658
417143,760,668
417151,760,676
417154,760,656
417155,760,667
417157,760,677
417160,760,694
417161,760,686
417166,760,682
417168,760,688
417169,760,658
417172,760,685
417174,760,681
417176,760,682
417177,760,679
417178,760,677
417180,760,691
417181,760,672
417182,760,680
417183,760,682
417184,760,675
417185,760,684
417186,760,673
417187,760,685
417193,760,689
417194,760,661
417197,760,679
417199,760,676
417200,760,665
417201,760,679
417204,760,679
417208,760,667
417213,760,662
417231,760,656
417232,760,684
417247,760,675
417248,760,686
417253,760,665
417255,760,683
417257,760,680
417261,760,678
417265,760,672
417271,760,652
417281,760,668
417299,760,664
417307,760,678
417308,760,699
417325,760,678
417326,760,676
417335,760,675
417347,760,662
417357,760,653
417365,760,649
417380,760,666
417383,760,658
417384,760,667
417395,760,647
417396,760,647
417398,760,671
417402,760,665
417403,760,686
417404,760,686
417408,760,673
417409,760,689
417414,760,672
417420,760,649
417424,760,667
417425,760,671
417427,760,694
417428,760,661
417434,760,659
485723,760,487
485725,760,515
485726,760,514
485728,477,760
485729,479,760
485730,476,760
485742,481,760
485764,483,760
485770,480,760
485776,484,760
485787,504,760
485798,760,504
485820,508,760
485831,760,511
485950,760,510
485961,760,508
485983,512,760
485990,513,760
485991,760,510
485992,760,509
485995,760,487
485997,509,760
486000,510,760
486001,508,760
486002,760,514
486003,760,511
486005,476,760
486006,482,760
486007,760,515
486008,760,511
486009,760,511
486010,510,760
486013,479,760
486014,510,760
486015,508,760
486016,760,512
486017,760,510
486018,760,510
486019,760,513
486024,760,512
486028,760,511
486029,507,760
486030,760,505
486031,760,510
486038,760,506
486281,760,501
701317f,760,608
701318f,760,608
701319f,760,608
701320f,760,608
701321f,760,608
701322f,760,608
701323f,760,608
701910f,760,608
701911f,760,608
701912f,760,608
701913f,760,608
702178f,489,759
702624f,760,494
703430f,488,760
703431f,760,489
703432f,760,486
703433f,760,488
703434f,760,485
703435f,760,489
703436f,760,490
703438f,760,490
703439f,760,485
703440f,760,489
703441f,760,489
703443f,760,490
703444f,487,760
703445f,760,489
703446f,489,760
703447f,489,760
703448f,760,490
703449f,760,489
703450f,760,488
703451f,760,490
703454f,760,489
703455f,487,760
703456f,489,760
703457f,490,760
703460f,487,760
703463f,488,760
703483f,760,490
703486f,488,760
703489f,760,488
703490f,488,760
703491f,760,489
703492f,489,760
703493f,489,760
703494f,489,760
703495f,488,760
703496f,760,491
703497f,489,760
703498f,490,760
703499f,484,760
703500f,760,486
703501f,485,760
703502f,488,760
703503f,490,760
703504f,760,490
703505f,490,760
703506f,489,760
703507f,760,489
703508f,760,487
703509f,489,760
703510f,485,760
703511f,760,489
703517f,760,489
703518f,485,760
703520f,489,760
703524f,760,491
703525f,760,489
703526f,760,489
703527f,488,760
703528f,488,760
703529f,760,490
703530f,486,760
703531f,760,488
703532f,760,487
703533f,760,489
703534f,490,760
703535f,489,760
703536f,760,489
703537f,760,490
703538f,760,490
703539f,760,490
703540f,760,489
703541f,760,488
703542f,486,760
703543f,760,487
703544f,488,760
703545f,760,488
703546f,760,488
703547f,760,489
703548f,488,760
703549f,760,489
703550f,486,760
706199f,759,607
710973f,759,489
712817f,759,607
713063f,760,493
721503f,760,484
723160f,488,759
723592f,760,490
727974f,490,759
730200f,760,607
730201f,760,607
730954b,492,760
731943f,759,495
ps_lhg_cd22_69,516,760
psnypl_lhg_221,760,608
psnypl_lhg_222,760,593
psnypl_lhg_223,760,608
