Adam Clayton Powell Jr. Boulevard	110	2141026499	40.7994068,-73.9552205
Adam Clayton Powell Jr. Boulevard	110	42433743	40.7994668,-73.955363
Adam Clayton Powell Jr. Boulevard	111	2141026500	40.8000053,-73.9547684
Adam Clayton Powell Jr. Boulevard	111	42446728	40.8000749,-73.9549272
Adam Clayton Powell Jr. Boulevard	112	2141026525	40.8006259,-73.9543146
Adam Clayton Powell Jr. Boulevard	112	42437211	40.8006953,-73.9544809
Adam Clayton Powell Jr. Boulevard	113	2141026544	40.8012531,-73.9538486
Adam Clayton Powell Jr. Boulevard	113	42431203	40.801325,-73.9540205
Adam Clayton Powell Jr. Boulevard	114	2141026523	40.8018838,-73.9533927
Adam Clayton Powell Jr. Boulevard	114	42448506	40.8019538,-73.9535577
Adam Clayton Powell Jr. Boulevard	115	2141026546	40.8025132,-73.9529374
Adam Clayton Powell Jr. Boulevard	115	42446775	40.8025813,-73.9530992
Adam Clayton Powell Jr. Boulevard	116	2141026506	40.8031843,-73.9524444
Adam Clayton Powell Jr. Boulevard	116	42432889	40.8032537,-73.952608
Adam Clayton Powell Jr. Boulevard	117	2141026498	40.8038654,-73.951949
Adam Clayton Powell Jr. Boulevard	117	42439849	40.8039345,-73.9521121
Adam Clayton Powell Jr. Boulevard	118	2141026492	40.8044957,-73.9514846
Adam Clayton Powell Jr. Boulevard	118	42439851	40.8045644,-73.9516496
Adam Clayton Powell Jr. Boulevard	119	2141026504	40.8051196,-73.9510272
Adam Clayton Powell Jr. Boulevard	119	42439852	40.8051892,-73.9511928
Adam Clayton Powell Jr. Boulevard	120	2141026497	40.8057431,-73.950577
Adam Clayton Powell Jr. Boulevard	120	4163940359	40.8058118,-73.9507375
Adam Clayton Powell Jr. Boulevard	121	2141026510	40.8063799,-73.9501152
Adam Clayton Powell Jr. Boulevard	121	42439855	40.8064478,-73.9502721
Adam Clayton Powell Jr. Boulevard	122	2141026491	40.807009,-73.9496555
Adam Clayton Powell Jr. Boulevard	122	42439858	40.8070737,-73.9498145
Adam Clayton Powell Jr. Boulevard	123	2141026538	40.8076346,-73.9491964
Adam Clayton Powell Jr. Boulevard	123	42438913	40.8077005,-73.9493541
Adam Clayton Powell Jr. Boulevard	124	2141026511	40.8082629,-73.9487406
Adam Clayton Powell Jr. Boulevard	124	42439860	40.8083293,-73.9488993
Adam Clayton Powell Jr. Boulevard	125	2141026503	40.8089395,-73.9482476
Adam Clayton Powell Jr. Boulevard	125	42439861	40.8090058,-73.9484034
Adam Clayton Powell Jr. Boulevard	126	2141026501	40.8096148,-73.9477655
Adam Clayton Powell Jr. Boulevard	126	42439864	40.8096859,-73.9479237
Adam Clayton Powell Jr. Boulevard	127	2141026493	40.8102335,-73.9472988
Adam Clayton Powell Jr. Boulevard	127	42436728	40.8103039,-73.9474622
Adam Clayton Powell Jr. Boulevard	128	2141026524	40.8108572,-73.9468491
Adam Clayton Powell Jr. Boulevard	128	42439868	40.8109249,-73.9470064
Adam Clayton Powell Jr. Boulevard	129	2141026508	40.811481,-73.9463951
Adam Clayton Powell Jr. Boulevard	129	42439873	40.811546,-73.9465492
Adam Clayton Powell Jr. Boulevard	130	2141026513	40.8121043,-73.9459364
Adam Clayton Powell Jr. Boulevard	130	42439878	40.8121726,-73.9460975
Adam Clayton Powell Jr. Boulevard	131	2141026551	40.8127308,-73.9454761
Adam Clayton Powell Jr. Boulevard	131	42438240	40.8127932,-73.9456451
Adam Clayton Powell Jr. Boulevard	132	2141026534	40.8133573,-73.9450192
Adam Clayton Powell Jr. Boulevard	132	42429536	40.8134231,-73.9451787
Adam Clayton Powell Jr. Boulevard	133	2141026515	40.8139768,-73.9445691
Adam Clayton Powell Jr. Boulevard	133	42434111	40.8140459,-73.9447305
Adam Clayton Powell Jr. Boulevard	134	2141026494	40.8146014,-73.9441122
Adam Clayton Powell Jr. Boulevard	134	42436003	40.8146691,-73.9442672
Adam Clayton Powell Jr. Boulevard	135	2141026532	40.8152726,-73.9436204
Adam Clayton Powell Jr. Boulevard	135	42439887	40.81534,-73.9437801
Adam Clayton Powell Jr. Boulevard	136	2141026507	40.8159452,-73.9431299
Adam Clayton Powell Jr. Boulevard	136	42439891	40.8160117,-73.9432878
Adam Clayton Powell Jr. Boulevard	137	2141026540	40.81656,-73.942676
Adam Clayton Powell Jr. Boulevard	137	42439894	40.8166299,-73.9428389
Adam Clayton Powell Jr. Boulevard	138	2141026542	40.8171915,-73.9422181
Adam Clayton Powell Jr. Boulevard	138	42435967	40.8172609,-73.9423832
Adam Clayton Powell Jr. Boulevard	139	2141026505	40.8178179,-73.9417633
Adam Clayton Powell Jr. Boulevard	139	42439897	40.8178879,-73.941924
Adam Clayton Powell Jr. Boulevard	140	2141026520	40.818438,-73.9413096
Adam Clayton Powell Jr. Boulevard	140	42433781	40.8185042,-73.9414703
Adam Clayton Powell Jr. Boulevard	141	2141026514	40.8190607,-73.9408456
Adam Clayton Powell Jr. Boulevard	141	42439899	40.8191327,-73.9410141
Adam Clayton Powell Jr. Boulevard	142	2141026536	40.8196887,-73.9403912
Adam Clayton Powell Jr. Boulevard	142	42438281	40.819759,-73.9405581
Adam Clayton Powell Jr. Boulevard	143	2141026502	40.8203089,-73.9399427
Adam Clayton Powell Jr. Boulevard	143	42439905	40.8203792,-73.9401037
Adam Clayton Powell Jr. Boulevard	144	2141026496	40.8209346,-73.9394886
Adam Clayton Powell Jr. Boulevard	144	42439910	40.8210002,-73.9396466
Adam Clayton Powell Jr. Boulevard	145	2141026518	40.8216091,-73.9389915
Adam Clayton Powell Jr. Boulevard	145	42434246	40.8216757,-73.9391536
Adam Clayton Powell Jr. Boulevard	146	2141026521	40.8222778,-73.938504
Adam Clayton Powell Jr. Boulevard	146	42439922	40.8223451,-73.9386646
Adam Clayton Powell Jr. Boulevard	147	2141026495	40.8228991,-73.9380514
Adam Clayton Powell Jr. Boulevard	147	42439924	40.8229671,-73.9382108
