Street1,Street2,Borough,Lat,Lon,Nodes
101st Avenue,120th Street,Queens,40.690247,-73.824961,42787640
101st Avenue,121st Street,Queens,40.690545,-73.823914,42787641
101st Avenue,123rd Street,Queens,40.69084,-73.822873,42787643
101st Avenue,124th Street,Queens,40.691136,-73.821833,42787644
101st Avenue,125th Street,Queens,40.691395,-73.820922,42787648
101st Avenue,126th Street,Queens,40.691645,-73.820041,42787650
101st Avenue,127th Street,Queens,40.691894,-73.819165,42787658
101st Avenue,129th Street,Queens,40.692207,-73.818065,42787665/42787662
101st Avenue,130th Street,Queens,40.692465,-73.817154,42787667/42787670
101st Avenue,131st Street,Queens,40.692733,-73.81621,42787673
101st Avenue,132nd Street,Queens,40.692973,-73.815365,42787677
101st Avenue,133rd Street,Queens,40.693213,-73.814519,42787681
101st Avenue,134th Street,Queens,40.693453,-73.813675,42787685
101st Avenue,146th Street,Queens,40.695948,-73.804982,1412695522
101st Avenue,218th Street,Queens,40.714401,-73.738019,42787789
101st Avenue,220th Street,Queens,40.714304,-73.733851,42786284
101st Avenue,221st Street,Queens,40.713932,-73.732305,42787758
101st Avenue,222nd Street,Queens,40.713721,-73.731427,42787763
101st Avenue,223rd Street,Queens,40.71351,-73.730551,42787772
101st Avenue,224th Street,Queens,40.713304,-73.729695,42787776
101st Avenue,75th Street,Queens,40.67964,-73.862301,42787441
101st Avenue,76th Street,Queens,40.679859,-73.861498,42787443
101st Avenue,77th Street,Queens,40.680115,-73.860603,42787447
101st Avenue,78th Street,Queens,40.680365,-73.859727,42787450
101st Avenue,80th Street,Queens,40.68063,-73.858786,42787452
101st Avenue,81st Street,Queens,40.68088,-73.857907,42787455
101st Avenue,82nd Street,Queens,40.681127,-73.857043,42787458
101st Avenue,83rd Street,Queens,40.681367,-73.856198,42787463
101st Avenue,84th Street,Queens,40.681607,-73.855353,42787466
101st Avenue,85th Street,Queens,40.681851,-73.854496,42787475
101st Avenue,86th Street,Queens,40.682088,-73.853664,42787479
101st Avenue,87th Street,Queens,40.682331,-73.852819,42787484
101st Avenue,88th Street,Queens,40.682564,-73.851979,42787488
101st Avenue,89th Street,Queens,40.682809,-73.851129,42787491
101st Avenue,90th Street,Queens,40.683049,-73.850284,42787495
101st Avenue,91st Street,Queens,40.683295,-73.849422,42787498
101st Avenue,92nd Street,Queens,40.683544,-73.848543,42787503
101st Avenue,93rd Street,Queens,40.683794,-73.847662,42787509
101st Avenue,94th Street,Queens,40.684045,-73.846784,42787513
101st Avenue,95th Street,Queens,40.684579,-73.84492,42787522
101st Avenue,97th Street,Queens,40.684779,-73.844217,42787527
101st Avenue,98th Street,Queens,40.685024,-73.843354,42787531
101st Avenue,99th Street,Queens,40.685273,-73.842478,42787534
101st Avenue,Allendale Street,Queens,40.695221,-73.807504,42787720
101st Avenue,Brisbin Street,Queens,40.694978,-73.808351,42787716
101st Avenue,Cresskill Place,Queens,40.694727,-73.809194,42787712
101st Avenue,Drew Street,Brooklyn,40.679367,-73.863359,598763938
101st Avenue,Forbell Street,Brooklyn,40.679114,-73.864243,42460608
101st Avenue,Lefferts Boulevard,Queens,40.689956,-73.825987,42787636
101st Avenue,Liberty Avenue,Brooklyn,40.679161,-73.864077,42460608/4566529822
101st Avenue,Liverpool Street,Queens,40.695463,-73.80665,42787722
101st Avenue,Remington Street,Queens,40.694243,-73.810896,42787700
101st Avenue,Rockaway Boulevard,Queens,40.682564,-73.851979,42787488
101st Avenue,Sanders Place,Queens,40.69449,-73.810029,42787705
101st Avenue,Springfield Boulevard,Queens,40.714283,-73.735677,7777717146
101st Avenue,Van Wyck Expressway,Queens,40.693995,-73.811768,42787696/42787690
101st Avenue,Waltham Street,Queens,40.695713,-73.805766,1412695521/42787726
101st Avenue,Woodhaven Boulevard,Queens,40.684248,-73.846089,42787517/2757013421/5396155918/2757013423
101st Road,105th Street,Queens,40.685879,-73.837855,42864018
101st Street,103rd Avenue,Queens,40.683514,-73.84063,42918788
101st Street,155th Avenue,Queens,40.665183,-73.833676,7728395219
101st Street,157th Avenue,Queens,40.663587,-73.833269,42894956
101st Street,158th Avenue,Queens,40.661919,-73.832856,7728361578
101st Street,159th Avenue,Queens,40.660242,-73.832441,42873359
101st Street,160th Avenue,Queens,40.658571,-73.832027,7728361579
101st Street,23rd Avenue,Queens,40.768829,-73.869726,482615346/7808325604
101st Street,24th Avenue,Queens,40.766746,-73.86923,42818445
101st Street,31st Avenue,Queens,40.761115,-73.868131,42856741
101st Street,32nd Avenue,Queens,40.759296,-73.867805,42835684
101st Street,34th Avenue,Queens,40.755623,-73.867132,3779614608/42824015
101st Street,35th Avenue,Queens,40.75436,-73.866903,42926623
101st Street,37th Avenue,Queens,40.752779,-73.866267,42816118
101st Street,3rd Avenue,Brooklyn,40.613109,-74.035738,42466146
101st Street,4th Avenue,Brooklyn,40.612182,-74.034227,42521328/42521331
101st Street,50th Avenue,Queens,40.74294,-73.862167,5380534080
101st Street,85th Road,Queens,40.697263,-73.847385,42912707/2951247660
101st Street,86th Avenue,Queens,40.695951,-73.846851,42917308
101st Street,95th Avenue,Queens,40.688372,-73.843014,42905393
101st Street,97th Avenue,Queens,40.687199,-73.842442,42823632
101st Street,99th Street,Queens,40.743262,-73.862593,42879255
101st Street,Astoria Boulevard,Queens,40.761726,-73.868251,1064257421
101st Street,Christie Avenue,Queens,40.741985,-73.861187,42806643
101st Street,Ditmars Boulevard,Queens,40.769766,-73.869995,482640649
101st Street,Fort Hamilton Parkway,Brooklyn,40.611154,-74.032555,5379191830
101st Street,Jackson Court,Brooklyn,40.611445,-74.033135,42460762
101st Street,Jamaica Avenue,Queens,40.695051,-73.846461,42822333
101st Street,John Warren Avenue,Brooklyn,40.611154,-74.032555,5379191830
101st Street,Kearney Street,Queens,40.761816,-73.868297,1064257385
101st Street,Lewis Avenue,Queens,40.740361,-73.859501,42807473
101st Street,Liberty Avenue,Queens,40.681248,-73.839525,42926605
101st Street,Martense Avenue,Queens,40.739159,-73.857952,42926251
101st Street,Northern Boulevard,Queens,40.757449,-73.867465,7762094060
101st Street,Park Lane South,Queens,40.698545,-73.848049,42926560/42926569
101st Street,Peconic Street,Queens,40.676957,-73.837277,42828566
101st Street,Radcliff Avenue,Queens,40.741448,-73.860617,3854411917
101st Street,Rockaway Boulevard,Queens,40.679831,-73.838608,42837592/42837595
101st Street,Sutter Avenue,Queens,40.676957,-73.837277,42828566
102nd Avenue,127th Street,Queens,40.691238,-73.818843,42931205
102nd Avenue,129th Street,Queens,40.691596,-73.817578,42863861
102nd Avenue,134th Street,Queens,40.692772,-73.81334,42901964
102nd Avenue,135th Street,Queens,40.692998,-73.812534,42857844
102nd Avenue,191st Street,Queens,40.708201,-73.766889,42931186
102nd Avenue,212th Street,Queens,40.712838,-73.74649,42849943
102nd Avenue,213th Street,Queens,40.712945,-73.745229,42914542
102nd Avenue,215th Street,Queens,40.713187,-73.743972,42819881/42819878
102nd Avenue,216th Street,Queens,40.713449,-73.742696,42922668
102nd Avenue,217th Place,Queens,40.713744,-73.740063,42931148
102nd Avenue,217th Street,Queens,40.713593,-73.74141,42883233
102nd Avenue,220th Street,Queens,40.713648,-73.734124,42786286
102nd Avenue,221st Street,Queens,40.713277,-73.732575,42859575
102nd Avenue,81st Street,Queens,40.680201,-73.85757,42909599
102nd Avenue,84th Street,Queens,40.680925,-73.855017,42931159
102nd Avenue,86th Street,Queens,40.681406,-73.85333,42850928
102nd Avenue,88th Street,Queens,40.681886,-73.851639,42903889
102nd Avenue,89th Street,Queens,40.682127,-73.850794,7945568790
102nd Avenue,Allendale Street,Queens,40.69455,-73.807072,42824414
102nd Avenue,Brisbin Street,Queens,40.694312,-73.807934,42809181
102nd Avenue,Farmers Boulevard,Queens,40.707996,-73.767763,42884027
102nd Avenue,Hollis Avenue,Queens,40.70846,-73.765813,42814726
102nd Avenue,Remington Street,Queens,40.693572,-73.81052,42829290
102nd Avenue,Rockaway Boulevard,Queens,40.682188,-73.850582,2807734601
102nd Avenue,Springfield Boulevard,Queens,40.714033,-73.735712,7777717145
102nd Avenue,Van Wyck Expressway,Queens,40.693322,-73.811397,42829113/42821900
102nd Road,127th Street,Queens,40.690619,-73.818539,42918710
102nd Road,129th Street,Queens,40.690978,-73.817275,42863866
102nd Road,81st Street,Queens,40.679575,-73.857258,42909606
102nd Road,84th Street,Queens,40.680283,-73.854704,42918696
102nd Road,86th Street,Queens,40.680762,-73.853013,42850933
102nd Road,88th Street,Queens,40.68124,-73.851318,42903892
102nd Road,89th Street,Queens,40.681484,-73.850478,42915730
102nd Road,90th Street,Queens,40.681716,-73.849627,42882874
102nd Road,Rockaway Boulevard,Queens,40.681844,-73.849216,42837549
102nd Street,103rd Avenue,Queens,40.683754,-73.839786,42903262
102nd Street,155th Avenue,Queens,40.665003,-73.832824,42818928
102nd Street,157th Avenue,Queens,40.663719,-73.832332,42894960
102nd Street,158th Avenue,Queens,40.662053,-73.831934,42903283
102nd Street,159th Avenue,Queens,40.660375,-73.831517,42873364
102nd Street,159th Drive,Queens,40.659107,-73.831204,42903289
102nd Street,159th Road,Queens,40.659706,-73.831355,42877384
102nd Street,160th Avenue,Queens,40.658704,-73.831099,42903293
102nd Street,1st Street,Queens,40.654791,-73.83006,2886149585
102nd Street,23rd Avenue,Queens,40.768859,-73.868674,7808325600
102nd Street,24th Avenue,Queens,40.766843,-73.868296,42818454
102nd Street,29th Avenue,Queens,40.761558,-73.867278,1064257387
102nd Street,31st Avenue,Queens,40.761219,-73.867231,42856744
102nd Street,32nd Avenue,Queens,40.759392,-73.866907,42835688
102nd Street,34th Avenue,Queens,40.755714,-73.866239,42824021/3779614621
102nd Street,35th Avenue,Queens,40.754545,-73.866028,42903198
102nd Street,37th Avenue,Queens,40.75302,-73.865405,42816122
102nd Street,39th Avenue,Queens,40.750408,-73.863986,42892914
102nd Street,40th Road,Queens,40.748989,-73.8638,42903127
102nd Street,41st Avenue,Queens,40.748491,-73.863544,42895228
102nd Street,42nd Avenue,Queens,40.747631,-73.863101,42878189
102nd Street,43rd Avenue,Queens,40.747158,-73.862856,42817961
102nd Street,44th Avenue,Queens,40.746546,-73.86254,42903137
102nd Street,45th Avenue,Queens,40.746372,-73.86245,42903142
102nd Street,46th Avenue,Queens,40.745745,-73.862126,42843244
102nd Street,47th Avenue,Queens,40.745074,-73.861779,10029914713
102nd Street,62nd Avenue,Queens,40.735648,-73.856152,42819271
102nd Street,62nd Drive,Queens,40.734319,-73.855466,42896214
102nd Street,62nd Road,Queens,40.734983,-73.855808,42866309
102nd Street,63rd Avenue,Queens,40.733653,-73.855122,42903115
102nd Street,63rd Drive,Queens,40.732427,-73.853901,42835477
102nd Street,63rd Road,Queens,40.73295,-73.854461,10736561461/3324555222
102nd Street,64th Avenue,Queens,40.731754,-73.853588,42902454
102nd Street,64th Road,Queens,40.731087,-73.853259,3324555240
102nd Street,65th Avenue,Queens,40.730427,-73.852884,3324555223
102nd Street,65th Road,Queens,40.729775,-73.852514,42903168
102nd Street,66th Avenue,Queens,40.729213,-73.852185,3324555224/3324555241
102nd Street,66th Road,Queens,40.728478,-73.85173,3324555242
102nd Street,67th Avenue,Queens,40.727692,-73.85179,7853869807
102nd Street,67th Road,Queens,40.726866,-73.851985,42846679
102nd Street,85th Avenue,Queens,40.698159,-73.846711,42808695
102nd Street,85th Drive,Queens,40.696859,-73.846142,42903223
102nd Street,85th Road,Queens,40.697506,-73.846426,42903220
102nd Street,86th Avenue,Queens,40.696203,-73.845857,42903226
102nd Street,86th Road,Queens,40.695553,-73.845568,42870622
102nd Street,87th Avenue,Queens,40.69437,-73.845015,42903231
102nd Street,88th Avenue,Queens,40.693726,-73.844701,42903234
102nd Street,89th Avenue,Queens,40.693086,-73.844386,42861008
102nd Street,90th Avenue,Queens,40.692441,-73.844073,42845467
102nd Street,91st Avenue,Queens,40.691796,-73.843751,42862843
102nd Street,92nd Avenue,Queens,40.691152,-73.843435,42785841
102nd Street,93rd Avenue,Queens,40.690508,-73.843119,42903245
102nd Street,94th Avenue,Queens,40.68923,-73.842473,42890582
102nd Street,95th Avenue,Queens,40.688611,-73.842169,42903254
102nd Street,97th Avenue,Queens,40.687428,-73.841591,42823635
102nd Street,Alstyne Avenue,Queens,40.743578,-73.861759,7725610993/42894259
102nd Street,Arcade Place,Queens,40.660026,-73.831431,42888277
102nd Street,Astoria Boulevard,Queens,40.761558,-73.867278,1064257387
102nd Street,Atlantic Avenue,Queens,40.689872,-73.842806,2924921657/42867924
102nd Street,Bridge Street,Queens,40.657908,-73.830898,2895736652
102nd Street,Broadway,Queens,40.657054,-73.830676,736527570/42864671
102nd Street,Christie Avenue,Queens,40.742428,-73.860452,42806647
102nd Street,Corona Avenue,Queens,40.744288,-73.861781,42903147
102nd Street,Ditmars Boulevard,Queens,40.768918,-73.868685,2802726400
102nd Street,Dunton Court,Queens,40.654454,-73.82997,2886149472
102nd Street,Freedom Drive,Queens,40.69883,-73.847,42903217
102nd Street,Horace Harding Expressway,Queens,40.736101,-73.856379,7853869815
102nd Street,Jamaica Avenue,Queens,40.69518,-73.845398,42822334
102nd Street,Larue Avenue,Queens,40.740142,-73.857953,42903157
102nd Street,Lewis Avenue,Queens,40.740802,-73.858758,42807475
102nd Street,Liberty Avenue,Queens,40.681417,-73.838631,42903266
102nd Street,Martense Avenue,Queens,40.739681,-73.857309,42903160
102nd Street,National Street,Queens,40.748085,-73.86333,42903131
102nd Street,Nicolls Avenue,Queens,40.745005,-73.861742,7725595322
102nd Street,Northern Boulevard,Queens,40.757542,-73.866572,7762094059
102nd Street,Park Lane South,Queens,40.69883,-73.847,42903217
102nd Street,Queens Boulevard,Queens,40.726456,-73.85186,277629670
102nd Street,Radcliff Avenue,Queens,40.741887,-73.859893,42890421
102nd Street,Rockaway Boulevard,Queens,40.67973,-73.837888,42837600
102nd Street,Roosevelt Avenue,Queens,40.749719,-73.86414,5758889332
102nd Street,Russell Street,Queens,40.65583,-73.830372,42817537
102nd Street,Spruce Street,Queens,40.749617,-73.864116,280989743
102nd Street,Strong Avenue,Queens,40.741346,-73.859333,42903153
102nd Street Crossing,East Drive,Manhattan,40.794322,-73.954781,42434038
102nd Street Crossing,West Drive,Manhattan,40.794398,-73.95934,4332457585
103rd Avenue,103rd Street,Queens,40.684002,-73.838943,42884324
103rd Avenue,104th Street,Queens,40.684245,-73.838081,42906217
103rd Avenue,105th Street,Queens,40.684495,-73.837176,42864023
103rd Avenue,106th Street,Queens,40.684844,-73.835951,42809846
103rd Avenue,107th Street,Queens,40.685088,-73.835111,42915536
103rd Avenue,108th Street,Queens,40.685327,-73.834265,42875117
103rd Avenue,109th Street,Queens,40.685568,-73.833422,42918807
103rd Avenue,110th Street,Queens,40.685814,-73.832579,42902616
103rd Avenue,111th Street,Queens,40.686051,-73.831723,42858028
103rd Avenue,112th Street,Queens,40.686293,-73.830885,42788155
103rd Avenue,113th Street,Queens,40.686534,-73.830038,42912024
103rd Avenue,114th Street,Queens,40.686778,-73.829178,42868655
103rd Avenue,115th Street,Queens,40.687007,-73.828356,42882434
103rd Avenue,116th Street,Queens,40.687244,-73.827529,42830761
103rd Avenue,117th Street,Queens,40.687473,-73.826702,42918827
103rd Avenue,118th Street,Queens,40.687709,-73.825873,42891562
103rd Avenue,120th Street,Queens,40.688245,-73.82398,42918833
103rd Avenue,121st Street,Queens,40.688543,-73.822932,42855539
103rd Avenue,123rd Street,Queens,40.688838,-73.821893,42918837
103rd Avenue,124th Street,Queens,40.689134,-73.820853,42887328
