i,j,Street1,Street2,Borough,Lat,Lon
,,Grand Street,Monroe Street,Manhattan,40.71331,-73.97745
,,Monroe Street,Tompkins Street,Manhattan,40.71331,-73.97745
,,Catherine Street,Hamilton Street,Manhattan,40.7109,-73.99662
,,Hamilton Street,Market Street,Manhattan,40.71143,-73.99424
,,Henry Street,Jackson Street,Manhattan,40.71423,-73.98088
,,Cannon Street,Jackson Street,Manhattan,40.71423,-73.98088
,,Chesnut Street,Madison Street,Manhattan,40.71172,-74.00037
,,Chambers Street,Madison Street,Manhattan,40.7117,-74.00087
,,Madison Street,Roosevelt Street,Manhattan,40.71179,-73.99986
,,Madison Street,Scammel Street,Manhattan,40.71329,-73.98327
,,Goerck Street,Madison Street,Manhattan,40.71373,-73.97917
,,Frankfort Street,Vandewater Street,Manhattan,40.71059,-74.00293
,,Chesnut Street,Oak Street,Manhattan,40.71084,-74.0002
,,Chambers Street,Oak Street,Manhattan,40.7109,-73.9996
,,Oak Street,Roosevelt Street,Manhattan,40.71089,-73.9997
,,James Street,Oak Street,Manhattan,40.71104,-73.99843
,,Oak Street,Oliver Street,Manhattan,40.7111,-73.99758
,,Catherine Street,Oak Street,Manhattan,40.71117,-73.99669
,,Chambers Street,Chesnut Street,Manhattan,40.71135,-74.0003
,,Batavia Street,Chambers Street,Manhattan,40.71054897574918,-73.99901780991254
,,Chambers Street,William Street,Manhattan,40.71226,-74.00212
,,Chambers Street,Chatham Street,Manhattan,40.7126,-74.00294
,,Chambers Street,Washington Street,Manhattan,40.71664,-74.01165
,,Chambers Street,Roosevelt Street,Manhattan,40.71097,-73.99971
,,Chambers Street,Rose Street,Manhattan,40.7117,-74.00087
,,Chambers Street,Duane Street,Manhattan,40.71249,-74.00268
,,Chambers Street,James Slip,Manhattan,40.70997,-73.99811
,,Chambers Street,James Street,Manhattan,40.71002427491518,-73.99816406030864
,,Chambers Street,City Hall Place,Manhattan,40.71311,-74.00405
,,Chambers Street,College Place,Manhattan,40.71552,-74.00921
,,Chambers Street,Hudson Street,Manhattan,40.71552,-74.00921
,,Batavia Street,Roosevelt Street,Manhattan,40.71047,-73.99962
,,Batavia Street,James Street,Manhattan,40.710627394570274,-73.9983327975101
,,Bridge Street,Bridge Street Alley,Manhattan,40.70358,-74.01371
,,Old Slip,Stone Street,Manhattan,40.70477,-74.00972
,,Battery Place,Marketfield Street,Manhattan,40.70462,-74.01325
,,Broadway,Marketfield Street,Manhattan,40.70462,-74.01325
,,Exchange Place,Oyster Pastie Lane,Manhattan,40.70676,-74.01247
,,Oyster Pastie Lane,Trinity Place,Manhattan,40.70713,-74.01328
,,Broadway,Oyster Pastie Lane,Manhattan,40.70676,-74.01247
,,Jauncey Court,Wall Street,Manhattan,40.70664,-74.00992
,,Old Slip,William Street,Manhattan,40.70477,-74.00972
,,Frankfort Street,William Street,Manhattan,40.7115,-74.00452
,,Duane Street,William Street,Manhattan,40.7122,-74.00254
,,Spruce Street,William Street,Manhattan,40.71095,-74.00508
,,Chatham Street,North William Street,Manhattan,40.71246,-74.00359
,,Frankfort Street,North William Street,Manhattan,40.7115,-74.00452
,,Chatham Street,Nassau Street,Manhattan,40.71199,-74.00533
,,Chatham Street,Roosevelt Street,Manhattan,40.71319,-74.0001
,,Chatham Street,Frankfort Street,Manhattan,40.71199,-74.00533
,,Chatham Street,Duane Street,Manhattan,40.71263,-74.00275
,,Chatham Street,James Street,Manhattan,40.71331,-73.99907
,,Chatham Street,Oliver Street,Manhattan,40.71339,-73.99816
,,Catherine Street,Chatham Street,Manhattan,40.71403,-73.99758
,,Chatham Street,East Broadway,Manhattan,40.71342,-73.9977
,,Chatham Street,Tryon Row,Manhattan,40.71232,-74.00433
,,Chatham Street,Doyers Street,Manhattan,40.71404,-73.99764
,,Baxter Street,Chatham Street,Manhattan,40.71317,-74.00021
,,Chatham Street,Mott Street,Manhattan,40.71358,-73.9986
,,Chatham Street,Mulberry Street,Manhattan,40.71328,-73.99936
,,Broad Street,Nassau Street,Manhattan,40.70714,-74.01068
,,Frankfort Street,Nassau Street,Manhattan,40.71199,-74.00533
,,Broadway,Fulton Street,Manhattan,40.71088,-74.00905
,,Broadway,Courtlandt Street,Manhattan,40.70981,-74.00998
,,Broadway,Houston Street,Manhattan,40.72547,-73.99672
,,9th Avenue,Broadway,Manhattan,40.77255,-73.98233
,,Broadway,Waverley Place,Manhattan,40.72958,-73.99325
,,Amity Street,Broadway,Manhattan,40.72783,-73.99473
,,8th Avenue,Broadway,Manhattan,40.76801,-73.98194
,,Broadway,West 59th Street,Manhattan,40.76801,-73.98194
,,Broadway,Union Square,Manhattan,40.7371,-73.9903
,,Broadway,West 46th Street,Manhattan,40.75869,-73.98535
,,Broadway,West 24th Street,Manhattan,40.74229,-73.98919
,,Broadway,West 45th Street,Manhattan,40.75798,-73.98556
,,Courtlandt Street,Maiden Lane,Manhattan,40.70981,-74.00998
,,Liberty Street,Temple Street,Manhattan,40.70946,-74.01114
,,Liberty Street,Washington Street,Manhattan,40.71046,-74.01348
,,Cedar Street,Temple Street,Manhattan,40.70908,-74.01141
,,Temple Street,Thames Street,Manhattan,40.70877,-74.01164
,,Dey Street,Greenwich Street,Manhattan,40.7116,-74.01213
,,Courtlandt Street,Greenwich Street,Manhattan,40.71082,-74.01232
,,Greenwich Street,Hamersley Street,Manhattan,40.72892,-74.00858
,,Bubert Street,Greenwich Street,Manhattan,40.72147,-74.00989
,,Greenwich Street,Hammond Street,Manhattan,40.73574,-74.00679
,,Gansvoort Street,Greenwich Street,Manhattan,40.73939,-74.00642
,,Fulton Street,Washington Street,Manhattan,40.71257,-74.01278
,,Dey Street,Washington Street,Manhattan,40.71191,-74.01292
,,Duane Street,Washington Street,Manhattan,40.71755,-74.01143
,,Courtlandt Street,Washington Street,Manhattan,40.71119,-74.01318
,,Hamersley Street,Washington Street,Manhattan,40.72899,-74.00932
,,Reade Street,Washington Street,Manhattan,40.7172,-74.01152
,,Hoboken Street,Washington Street,Manhattan,40.72515,-74.01003
,,Park Place,Washington Street,Manhattan,40.71462,-74.01218
,,Murray Street,Washington Street,Manhattan,40.71527,-74.01203
,,Warren Street,Washington Street,Manhattan,40.71593,-74.01186
,,Jay Street,Washington Street,Manhattan,40.71821,-74.01124
,,Harrison Street,Washington Street,Manhattan,40.71886,-74.01112
,,Franklin Street,Washington Street,Manhattan,40.71953,-74.01101
,,North Moore Street,Washington Street,Manhattan,40.72019,-74.01091
,,Beach Street,Washington Street,Manhattan,40.72083,-74.01083
,,Bubert Street,Washington Street,Manhattan,40.72156,-74.01071
,,Charlton Street,Washington Street,Manhattan,40.72756,-74.00961
,,King Street,Washington Street,Manhattan,40.72828,-74.00946
,,Hammond Street,Washington Street,Manhattan,40.7355,-74.00836
,,Gansvoort Street,Washington Street,Manhattan,40.73938,-74.00803
,,Charles Alley,Washington Street,Manhattan,40.7345,-74.00845
,,10th Avenue,West 12th Street,Manhattan,40.74084,-74.00917
,,9th Avenue,West 12th Street,Manhattan,40.73961,-74.00634
,,Gansvoort Street,West 12th Street,Manhattan,40.7394,-74.00579
,,10th Avenue,West 72nd Street,Manhattan,40.77858,-73.98164
,,10th Avenue,West 32nd Street,Manhattan,40.75329,-74.0001
,,10th Avenue,West 60th Street,Manhattan,40.771,-73.98717
,,10th Avenue,West 61st Street,Manhattan,40.77167,-73.98671
,,10th Avenue,West 62nd Street,Manhattan,40.77227,-73.98626
,,10th Avenue,West 63rd Street,Manhattan,40.77293,-73.98577
,,10th Avenue,West 64th Street,Manhattan,40.77356,-73.98533
,,10th Avenue,West 65th Street,Manhattan,40.77416,-73.98487
,,10th Avenue,West 66th Street,Manhattan,40.77482,-73.9844
,,10th Avenue,West 67th Street,Manhattan,40.77546,-73.98398
,,10th Avenue,West 68th Street,Manhattan,40.77609,-73.98351
,,10th Avenue,West 69th Street,Manhattan,40.77669,-73.98309
,,10th Avenue,West 70th Street,Manhattan,40.77733,-73.9826
,,10th Avenue,West 71st Street,Manhattan,40.77795,-73.98211
,,Dey Street,West Street,Manhattan,40.71231,-74.01381
,,Duane Street,West Street,Manhattan,40.71767,-74.01255
,,Courtlandt Street,West Street,Manhattan,40.71154,-74.014
,,Hamersley Street,West Street,Manhattan,40.7291,-74.01054
,,Reade Street,West Street,Manhattan,40.71735,-74.01262
,,Hoboken Street,West Street,Manhattan,40.72526,-74.01094
,,Park Place,West Street,Manhattan,40.71507,-74.01318
,,Jay Street,West Street,Manhattan,40.71832,-74.01238
,,Franklin Street,West Street,Manhattan,40.71964,-74.01211
,,Beach Street,West Street,Manhattan,40.72092,-74.01186
,,Bubert Street,West Street,Manhattan,40.72164,-74.0117
,,Charlton Street,West Street,Manhattan,40.72766,-74.01066
,,King Street,West Street,Manhattan,40.72839,-74.0106
,,Hammond Street,West Street,Manhattan,40.73529,-74.00992
,,Gansvoort Street,West Street,Manhattan,40.73934,-74.0096
,,Charles Alley,West Street,Manhattan,40.73423,-74.01002
,,Burling Slip,Rector Street,Manhattan,40.70641,-74.00455
,,John Street,Rector Street,Manhattan,40.7069,-74.00505
,,Fulton Street,Rider's Alley,Manhattan,40.70891,-74.00526
,,Dey Street,John Street,Manhattan,40.71039,-74.00951
,,Ferry Street,Peck Slip,Manhattan,40.70875,-74.00247
,,Cliff Street,Ferry Street,Manhattan,40.70925,-74.00296
,,Ferry Street,Jacob Street,Manhattan,40.70974,-74.00348
,,Ferry Street,Gold Street,Manhattan,40.71029,-74.00401
,,4th Avenue,8th Street,Manhattan,40.72984377481776,-73.99076298450188
,,4th Avenue,7th Street,Manhattan,40.72915735041819,-73.99094392804167
,,4th Avenue,6th Street,Manhattan,40.72846,-73.99112
,,4th Avenue,East 59th Street,Manhattan,40.76291,-73.96982
