i,j,Street1,Street2,Borough,Lat,Lon
,,Bavard Street,Mulberry Street,Manhattan,40.71591,-73.99932
,,Bavard Street,Elizabeth Street,Manhattan,40.71536,-73.99771
,,Bavard Street,Forsyth Street,Manhattan,40.71441,-73.99483
,,Bavard Street,Chrystie Street,Manhattan,40.71467,-73.99567
,,Park Street,Worth Street,Manhattan,40.71443,-74.00042
,,Baxter Street,Park Street,Manhattan,40.71443,-74.00042
,,Mission Place,Park Street,Manhattan,40.71439,-74.00125
,,Mott Street,Park Street,Manhattan,40.71451,-73.9988
,,Mulberry Street,Park Street,Manhattan,40.71447,-73.99956
,,Barclay Street,College Place,Manhattan,40.71332,-74.01094
,,College Place,Park Place,Manhattan,40.71386,-74.01054
,,College Place,Murray Street,Manhattan,40.714375000000004,-74.01012
,,College Place,Warren Street,Manhattan,40.71493,-74.00964
,,College Place,West Broadway,Manhattan,40.71552,-74.00921
,,College Place,Hudson Street,Manhattan,40.71552,-74.00921
,,Hudson Street,West Broadway,Manhattan,40.71552,-74.00921
,,West Broadway,York Street,Manhattan,40.72099,-74.00493
,,Laurens Street,West Broadway,Manhattan,40.72131,-74.00462
,,Bubert Street,Hudson Street,Manhattan,40.72131,-74.00836
,,Hammond Street,Hudson Street,Manhattan,40.73585,-74.00597
,,Gansvoort Street,Hudson Street,Manhattan,40.73938,-74.00542
,,13th Avenue,Jane Street,Manhattan,40.73816,-74.01136
,,Bleecker Street,West 14th Street,Manhattan,40.74084,-74.00517
,,9th Avenue,Bleecker Street,Manhattan,40.74084,-74.00517
,,Bleecker Street,Greene Street,Manhattan,40.72729,-73.99744
,,Bleecker Street,Laurens Street,Manhattan,40.72805,-73.99893
,,Bleecker Street,Depau Place,Manhattan,40.72844,-73.99967
,,Bleecker Street,Varick Place,Manhattan,40.7288,-74.00044
,,Bleecker Street,Saint Clements Place,Manhattan,40.72917,-74.00118
,,Bleecker Street,Depau Row,Manhattan,40.7286,-74.00007
,,Bleecker Street,West 13th Street,Manhattan,40.74002,-74.00532
,,Bleecker Street,Commerce Street,Manhattan,40.73202,-74.00346
,,Bleecker Street,Hancock Street,Manhattan,40.72952,-74.00197
,,Bleecker Street,Downing Street,Manhattan,40.72981,-74.00216
,,Bleecker Street,Hammond Street,Manhattan,40.73596,-74.00512
,,Bleecker Street,Gansvoort Street,Manhattan,40.73938,-74.00542
,,13th Avenue,West 14th Street,Manhattan,40.74323,-74.01096
,,11th Avenue,West 14th Street,Manhattan,40.74323,-74.01096
,,9th Avenue,Gansvoort Street,Manhattan,40.73939,-74.00642
,,9th Avenue,West 72nd Street,Manhattan,40.77743,-73.97882
,,9th Avenue,West 27th Street,Manhattan,40.749,-73.99944
,,9th Avenue,West 32nd Street,Manhattan,40.75211,-73.99722
,,9th Avenue,West 60th Street,Manhattan,40.76982,-73.98429
,,9th Avenue,West 61st Street,Manhattan,40.77048,-73.98385
,,9th Avenue,West 62nd Street,Manhattan,40.7711,-73.98343
,,9th Avenue,West 63rd Street,Manhattan,40.77173,-73.98297
,,9th Avenue,West 64th Street,Manhattan,40.77234,-73.98248
,,9th Avenue,West 65th Street,Manhattan,40.77298,-73.98203
,,9th Avenue,West 66th Street,Manhattan,40.77359,-73.98158
,,9th Avenue,West 67th Street,Manhattan,40.77422,-73.98114
,,9th Avenue,West 68th Street,Manhattan,40.77487,-73.98065
,,9th Avenue,West 69th Street,Manhattan,40.7755,-73.98019
,,9th Avenue,West 70th Street,Manhattan,40.77612,-73.97974
,,9th Avenue,West 71st Street,Manhattan,40.77674,-73.97932
,,Baxter Street,Franklin Street,Manhattan,40.7159,-74.00037
,,Beach Street,Saint Johns Lane,Manhattan,40.72037,-74.00597
,,Mission Place,Worth Street,Manhattan,40.7148,-74.00132
,,Baxter Street,Leonard Street,Manhattan,40.71518,-74.00055
,,Mulberry Street,Walker Street,Manhattan,40.71706,-73.99862
,,Hester Street,Suffolk Street,Manhattan,40.71504,-73.98812
,,Hester Street,Norfolk Street,Manhattan,40.7153,-73.98896
,,Saint Johns Lane,York Street,Manhattan,40.72108,-74.00586
,,Laight Street,Saint Johns Lane,Manhattan,40.72174,-74.00577
,,Bubert Street,Collister Street,Manhattan,40.7214,-74.00916
,,Mercer Street,Neilson Place,Manhattan,40.72998,-73.99406
,,Leroy Place,Mercer Street,Manhattan,40.72692,-73.99665
,,Mercer Street,Waverley Place,Manhattan,40.72998,-73.99406
,,Amity Street,Mercer Street,Manhattan,40.7282,-73.99556
,,Attorney Street,Broome Street,Manhattan,40.71664,-73.98536
,,Broome Street,Willet Street,Manhattan,40.7159,-73.98289
,,Broome Street,Goerck Street,Manhattan,40.71468,-73.97867
,,Broome Street,Mangin Street,Manhattan,40.71442,-73.97781
,,Broome Street,Tompkins Street,Manhattan,40.71418,-73.97697
,,Broome Street,Marion Street,Manhattan,40.72084,-73.99765
,,Broome Street,Laurens Street,Manhattan,40.7233,-74.00291
,,Broome Street,Clarke Street,Manhattan,40.72426,-74.00475
,,4th Street,Wooster Street,Manhattan,40.72955,-73.99658
,,Amity Street,Wooster Street,Manhattan,40.72894,-73.9971
,,University Place,Wooster Street,Manhattan,40.72955,-73.99658
,,Delancy Street,Forsyth Street,Manhattan,40.71987,-73.99207
,,Allen Street,Delancy Street,Manhattan,40.71939,-73.99047
,,Delancy Street,Orchard Street,Manhattan,40.71917,-73.9897
,,Delancy Street,Ludlow Street,Manhattan,40.71892,-73.98896
,,Essex Market Place,Ludlow Street,Manhattan,40.71732,-73.98977
,,Delancy Street,Suffolk Street,Manhattan,40.71818,-73.9865
,,Delancy Street,Norfolk Street,Manhattan,40.71844,-73.98735
,,Attorney Street,Delancy Street,Manhattan,40.71767,-73.98482
,,Delancy Street,Ridge Street,Manhattan,40.71742,-73.98399
,,Delancy Street,Pitt Street,Manhattan,40.71717,-73.98315
,,Rivington Street,Willet Street,Manhattan,40.71804925542689,-73.98171583541472
,,Stanton Street,Willet Street,Manhattan,40.71922221795185,-73.98113891995388
,,Delancy Street,Willet Street,Manhattan,40.7169,-73.98234
,,Willet Street,Willett Street,Manhattan,40.7184350017334,-73.98152573190687
,,Columbia Street,Stanton Street,Manhattan,40.71871842921738,-73.97943277537793
,,Columbia Street,Delancy Street,Manhattan,40.71641,-73.9807
,,Cannon Street,Rivington Street,Manhattan,40.71730090252526,-73.97917205033504
,,Cannon Street,Stanton Street,Manhattan,40.7184610992003,-73.97858154205437
,,Cannon Street,Delancy Street,Manhattan,40.71617,-73.97979
,,Lewis Street,Rivington Street,Manhattan,40.71705177861789,-73.9783605457518
,,Lewis Street,Stanton Street,Manhattan,40.71821244814961,-73.97776286004898
,,Delancy Street,Lewis Street,Manhattan,40.71594,-73.97897
,,8th Street,Lewis Street,Manhattan,40.723320164918434,-73.97517448633852
,,7th Street,Lewis Street,Manhattan,40.72265503832766,-73.97550191893177
,,6th Street,Lewis Street,Manhattan,40.722031491457756,-73.9758130799482
,,5th Street,Lewis Street,Manhattan,40.721369911548585,-73.97616127164255
,,4th Street,Lewis Street,Manhattan,40.72072203657288,-73.97649496877413
,,3rd Street,Lewis Street,Manhattan,40.72005269338058,-73.97682070929648
,,East 7th Street,Lewis Street,Manhattan,40.722664631181075,-73.97549714889217
,,East 6th Street,Lewis Street,Manhattan,40.72203200287166,-73.97581282056262
,,East 5th Street,Lewis Street,Manhattan,40.72137644724069,-73.97615783536614
,,East 4th Street,Lewis Street,Manhattan,40.720730504632925,-73.97649056675506
,,East 3rd Street,Lewis Street,Manhattan,40.72006776614462,-73.97681279498147
,,East Houston Street,Lewis Street,Manhattan,40.71938427101557,-73.97716743359614
,,Delancy Slip,Goerck Street,Manhattan,40.71572,-73.97809
,,Goerck Street,Rivington Street,Manhattan,40.71679227409744,-73.97752189629851
,,Goerck Street,Stanton Street,Manhattan,40.71795957950789,-73.97691561881373
,,Delancy Street,Goerck Street,Manhattan,40.71572,-73.97809
,,Delancy Slip,Mangin Street,Manhattan,40.71546,-73.97726999999999
,,Mangin Street,Rivington Street,Manhattan,40.716566013105165,-73.9766861202785
,,Delancy Slip,Tompkins Street,Manhattan,40.715205,-73.97641999999999
,,Delancy Slip,Delancy Street,Manhattan,40.71572,-73.97809
,,Rivington Street,Tompkins Street,Manhattan,40.716311119720785,-73.97584451003331
,,Stanton Street,Tompkins Street,Manhattan,40.71744686031569,-73.97526480478221
,,Rivington Street,Willett Street,Manhattan,40.718061428259524,-73.98171455944387
,,Marion Street,Spring Street,Manhattan,40.72232,-73.99707
,,Laurens Street,Spring Street,Manhattan,40.72453,-74.00188
,,MacDougal Street,Spring Street,Manhattan,40.72553,-74.00421
,,Clarke Street,Spring Street,Manhattan,40.72556,-74.00454
,,MacDougal Street,Vandam Street,Manhattan,40.72623,-74.00366
,,Marion Street,Prince Street,Manhattan,40.7237,-73.99654
,,Laurens Street,Prince Street,Manhattan,40.72576,-74.00084
,,Stanton Street,Willett Street,Manhattan,40.71921934234358,-73.98112927681585
,,Chrystie Street,Delancy Street,Manhattan,40.72013,-73.99289
,,Greene Street,Leroy Place,Manhattan,40.72729,-73.99744
,,Greene Street,Waverley Place,Manhattan,40.73034,-73.99484
,,Amity Street,Greene Street,Manhattan,40.72858,-73.99635
,,8th Street,Neilson Place,Manhattan,40.73094,-73.99325
,,Neilson Place,Waverley Place,Manhattan,40.72998,-73.99406
,,Laight Street,Thompson Street,Manhattan,40.7217,-74.00531
,,4th Street,Thompson Street,Manhattan,40.73029,-73.99808
,,Carroll Place,Thompson Street,Manhattan,40.72844,-73.99967
,,Amity Street,Thompson Street,Manhattan,40.72968,-73.9986
,,Carroll Place,Laurens Street,Manhattan,40.72805,-73.99893
,,Amity Street,Laurens Street,Manhattan,40.7293,-73.99786
,,Carroll Place,Depau Place,Manhattan,40.72844,-73.99967
,,MacDougal Street,Waverley Place,Manhattan,40.73221,-73.99859
,,Amity Street,MacDougal Street,Manhattan,40.73043,-74.0001
,,MacDougal Street,West Washington Place,Manhattan,40.73164,-73.9991
,,Clarke Street,Dominick Street,Manhattan,40.72492,-74.00465
,,East 14th Street,East 15th Street,Manhattan,40.72683,-73.97187
,,East 14th Street,Union Square,Manhattan,40.73521,-73.99171
,,Avenue D,East 14th Street,Manhattan,40.727437631662895,-73.97330970151273
,,5th Avenue,Waverley Place,Manhattan,40.73139,-73.99696
,,5th Avenue,Washington Alley,Manhattan,40.73183,-73.99664
,,Dry Dock Street,East 12th Street,Manhattan,40.72653,-73.9753
,,Avenue D,East 11th Street,Manhattan,40.7254726155262,-73.97475208505375
,,Dry Dock Street,East 11th Street,Manhattan,40.72589976704037,-73.97575017471974
,,Dry Dock Street,East 10th Street,Manhattan,40.72530376202564,-73.97619717848077
,,Astor Place,East 10th Street,Manhattan,40.73001006485916,-73.98734910494363
,,9th Street,Avenue C,Manhattan,40.725295476810324,-73.97798938617868
,,9th Street,Astor Place,Manhattan,40.72991,-73.98888
,,8th Street,Avenue C,Manhattan,40.72468616269629,-73.97843064167769
,,8th Street,Avenue A,Manhattan,40.72666,-73.98311
,,1st Avenue,8th Street,Manhattan,40.72759082322727,-73.98531190221446
,,2nd Avenue,8th Street,Manhattan,40.728618335653294,-73.98768615422799
,,3rd Avenue,8th Street,Manhattan,40.72954534977221,-73.98994864944399
,,8th Street,Lafayette Place,Manhattan,40.73012,-73.99133
,,7th Street,Avenue C,Manhattan,40.7241,-73.97889
,,3rd Avenue,7th Street,Manhattan,40.72891836311763,-73.99039608571604
,,7th Street,Leandert's Place,Manhattan,40.72497,-73.98094
,,3rd Avenue,6th Street,Manhattan,40.72836,-73.99083
,,5th Street,Avenue C,Manhattan,40.7229066476534,-73.9797223750548
,,4th Street,Avenue C,Manhattan,40.72229872857953,-73.98015709209776
,,4th Street,Lafayette Place,Manhattan,40.72786,-73.99314
,,4th Street,University Place,Manhattan,40.72955,-73.99658
,,4th Street,West Washington Place,Manhattan,40.73337,-74.00258
,,4th Street,Hammond Street,Manhattan,40.73618,-74.00353
,,4th Street,Gansvoort Street,Manhattan,40.7394,-74.0039
,,3rd Street,Avenue C,Manhattan,40.72166106682877,-73.98061248926712
,,3rd Street,Great Jones Street,Manhattan,40.72638,-73.99181
,,3rd Street,Tompkins Street,Manhattan,40.7190592345265,-73.97450546342625
,,2nd Street,Avenue C,Manhattan,40.72104160066625,-73.9810905687055
,,1st Street,Avenue A,Manhattan,40.72236,-73.98626
,,Avenue C,East 17th Street,Manhattan,40.730366704810336,-73.97435530017508
,,Avenue C,East 9th Street,Manhattan,40.725294793953864,-73.97798988050234
,,Avenue C,East 8th Street,Manhattan,40.72469765540391,-73.9784223190765
,,Avenue C,East 7th Street,Manhattan,40.72409147160073,-73.9788735267979
,,Avenue C,East 5th Street,Manhattan,40.72288714998915,-73.97973632878265
,,Avenue C,East 4th Street,Manhattan,40.7222862292204,-73.98016601839493
,,Avenue C,East 3rd Street,Manhattan,40.72167374312444,-73.98060343636641
,,Avenue C,East 2nd Street,Manhattan,40.721040805640605,-73.98109111000863
,,Avenue D,East 2nd Street,Manhattan,40.72004222185326,-73.97872707131876
,,Avenue A,East 59th Street,Manhattan,40.75867,-73.95977
,,Avenue A,East 58th Street,Manhattan,40.75804,-73.96019
,,Avenue A,East 15th Street,Manhattan,40.73110630995384,-73.97987209123272
,,Avenue A,East 16th Street,Manhattan,40.731754813829326,-73.97940412055877
,,Avenue A,East 17th Street,Manhattan,40.732341778093726,-73.97899998383646
,,Avenue A,East 18th Street,Manhattan,40.732921255751755,-73.97857911696853
,,Avenue A,East 19th Street,Manhattan,40.733510936394666,-73.97813989255633
,,Avenue A,East 20th Street,Manhattan,40.734099963404056,-73.97773118704458
,,Avenue A,East 21st Street,Manhattan,40.73468261429568,-73.97728479225718
,,Avenue A,East 22nd Street,Manhattan,40.735297394758845,-73.97685637315098
,,Avenue A,East 23rd Street,Manhattan,40.73595,-73.97633
,,Avenue A,East 24th Street,Manhattan,40.73664,-73.97585
,,Avenue A,East 54th Street,Manhattan,40.75543,-73.96208
,,Avenue A,East 55th Street,Manhattan,40.75605,-73.96165
,,Avenue A,East 56th Street,Manhattan,40.7567,-73.96117
,,Avenue A,East 57th Street,Manhattan,40.75738,-73.96072
,,Avenue A,East 60th Street,Manhattan,40.75929,-73.95927
,,Avenue A,East 61st Street,Manhattan,40.75992,-73.95877
,,Avenue A,East 62nd Street,Manhattan,40.76056,-73.95835
,,Avenue A,East 63rd Street,Manhattan,40.76116,-73.9579
,,Avenue A,East 64th Street,Manhattan,40.76178,-73.95745
,,Avenue A,East 65th Street,Manhattan,40.7624,-73.95701
,,Avenue A,East 66th Street,Manhattan,40.76304,-73.95655
,,Avenue A,East 67th Street,Manhattan,40.76366,-73.95607
,,Avenue A,East 68th Street,Manhattan,40.7643,-73.9556
,,Avenue A,East 69th Street,Manhattan,40.76491,-73.95518
,,Avenue A,East 70th Street,Manhattan,40.76556,-73.95469
,,Avenue A,East 71st Street,Manhattan,40.76617,-73.95426
,,Avenue A,East 72nd Street,Manhattan,40.76688,-73.95381
,,Avenue A,East 1st Street,Manhattan,40.72236038745463,-73.98624940669683
,,1st Avenue,East 31st Street,Manhattan,40.74188,-73.97493
,,1st Avenue,East 32nd Street,Manhattan,40.7425,-73.97449
,,2nd Avenue,Astor Place,Manhattan,40.73006,-73.98666
,,2nd Avenue,Stuyvesant Street,Manhattan,40.73004582800839,-73.9866526191628
,,3rd Avenue,East 7th Street,Manhattan,40.728951003833814,-73.99037279261483
,,3rd Avenue,East 6th Street,Manhattan,40.72837548776472,-73.99081810760923
,,Astor Place,Lafayette Place,Manhattan,40.72989,-73.99153
,,Astor Place,East 9th Street,Manhattan,40.72990700121465,-73.98893037959388
,,Astor Place,Stuyvesant Street,Manhattan,40.73002013908294,-73.98721008065543
,,Great Jones Street,Lafayette Place,Manhattan,40.72728,-73.99359
,,Amity Street,Great Jones Street,Manhattan,40.72783,-73.99473
,,University Place,Washington Place,Manhattan,40.73015,-73.99609
,,Christopher Street,Waverley Place,Manhattan,40.7338,-74.00145499999999
,,University Place,Waverley Place,Manhattan,40.73073,-73.99559
,,Waverley Place,West 10th Street,Manhattan,40.73449,-74.00138
,,6th Avenue,Waverley Place,Manhattan,40.73294,-74.00006
,,Grove Street,Waverley Place,Manhattan,40.733760000000004,-74.00144
,,Charles Street,Waverley Place,Manhattan,40.73514,-74.00158
,,Perry Street,Waverley Place,Manhattan,40.73577,-74.00175
,,Hammond Street,Waverley Place,Manhattan,40.7364,-74.00197
,,Bank Street,Waverley Place,Manhattan,40.73706,-74.00215
,,Gay Street,Waverley Place,Manhattan,40.73325,-74.0007
,,6th Avenue,Amity Street,Manhattan,40.73105,-74.00141
,,8th Avenue,Bank Street,Manhattan,40.73657,-74.00586
,,8th Avenue,West 59th Street,Manhattan,40.76801,-73.98194
,,8th Avenue,West 72nd Street,Manhattan,40.77622,-73.97593
,,8th Avenue,West 32nd Street,Manhattan,40.75092,-73.99444
,,8th Avenue,West 60th Street,Manhattan,40.76864,-73.98147
,,8th Avenue,West 61st Street,Manhattan,40.76928,-73.98097
,,8th Avenue,West 62nd Street,Manhattan,40.76988,-73.9805
,,8th Avenue,West 63rd Street,Manhattan,40.77054,-73.98004
,,8th Avenue,West 64th Street,Manhattan,40.77118,-73.97959
,,8th Avenue,West 65th Street,Manhattan,40.77178,-73.97916
,,8th Avenue,West 66th Street,Manhattan,40.77241,-73.97875
,,8th Avenue,West 67th Street,Manhattan,40.77305,-73.9783
,,8th Avenue,West 68th Street,Manhattan,40.77366,-73.97778
,,8th Avenue,West 69th Street,Manhattan,40.77428,-73.97733
,,8th Avenue,West 70th Street,Manhattan,40.7749,-73.97687
,,8th Avenue,West 71st Street,Manhattan,40.77552,-73.97642
,,University Place,Washington Alley,Manhattan,40.7312,-73.99513
,,Union Court,University Place,Manhattan,40.73368,-73.99297
,,13th Avenue,West 13th Street,Manhattan,40.7424,-74.01116
,,Gansvoort Street,West 13th Street,Manhattan,40.7394,-74.0039
,,13th Avenue,Bank Street,Manhattan,40.73573,-74.01157
,,13th Avenue,Bethune Street,Manhattan,40.73697,-74.01147
,,13th Avenue,Horatio Street,Manhattan,40.73876,-74.01131
,,13th Avenue,Gansvoort Street,Manhattan,40.73934,-74.01125
,,13th Avenue,West 15th Street,Manhattan,40.74405,-74.01069
,,11th Avenue,13th Avenue,Manhattan,40.74323,-74.01096
,,13th Avenue,West 16th Street,Manhattan,40.74476,-74.01044
,,13th Avenue,West 17th Street,Manhattan,40.74542,-74.01017
,,13th Avenue,West 18th Street,Manhattan,40.7461,-74.00992
,,13th Avenue,West 19th Street,Manhattan,40.74677,-74.00969
,,13th Avenue,West 20th Street,Manhattan,40.74742,-74.00944
,,13th Avenue,West 21st Street,Manhattan,40.74812,-74.00921
,,13th Avenue,West 22nd Street,Manhattan,40.74887,-74.00895
,,13th Avenue,West 23rd Street,Manhattan,40.74951,-74.00864
,,13th Avenue,West 24th Street,Manhattan,40.75031,-74.00832
,,Garden Row,West 11th Street,Manhattan,40.73549,-73.99854
,,Hammond Street,West 11th Street,Manhattan,40.73655,-74.00108
,,6th Avenue,Milligan Place,Manhattan,40.73502,-73.99856
,,6th Avenue,West 59th Street,Manhattan,40.76565,-73.97625
,,Grove Street,West Washington Place,Manhattan,40.73337,-74.00258
,,Greenwich Avenue,Hammond Street,Manhattan,40.73655,-74.00108
,,7th Avenue,Hammond Street,Manhattan,40.73655,-74.00108
,,7th Avenue,West 59th Street,Manhattan,40.76685,-73.97912
,,East 15th Street,Livingston Place,Manhattan,40.732693329829694,-73.98366117878918
,,East 15th Street,Union Square,Manhattan,40.73589,-73.99118
,,Avenue D,East 15th Street,Manhattan,40.72812656923284,-73.97281179028727
,,East 16th Street,Livingston Place,Manhattan,40.73336,-73.98322
,,East 16th Street,Union Square,Manhattan,40.7365,-73.99073
,,East 17th Street,Union Place,Manhattan,40.73656,-73.98901
,,East 17th Street,Livingston Place,Manhattan,40.73393,-73.98282
,,East 17th Street,Union Square,Manhattan,40.7371,-73.9903
,,East 18th Street,Union Place,Manhattan,40.73715109371703,-73.98859919410324
,,4th Avenue,East 18th Street,Manhattan,40.737141120559734,-73.98857505657791
,,East 19th Street,Union Place,Manhattan,40.73772,-73.98818
,,East 20th Street,Irving Place,Manhattan,40.73764229096334,-73.98611504775552
,,East 20th Street,Gramercy Place,Manhattan,40.73795,-73.98682
,,East 21st Street,Lexington Avenue,Manhattan,40.738239266633144,-73.98566759035087
,,East 21st Street,Gramercy Place,Manhattan,40.73855561856483,-73.98644272941863
,,11th Avenue,West 72nd Street,Manhattan,40.77983,-73.98451
,,Hudson River Railroad Street,West 72nd Street,Manhattan,40.78072,-73.98662
,,11th Avenue,West 31st Street,Manhattan,40.75396,-74.00333
,,11th Avenue,West 32nd Street,Manhattan,40.75456,-74.00288
,,11th Avenue,West 60th Street,Manhattan,40.77226,-73.99
,,11th Avenue,West 61st Street,Manhattan,40.77286,-73.98952
,,11th Avenue,West 62nd Street,Manhattan,40.77349,-73.98909
,,11th Avenue,West 63rd Street,Manhattan,40.77414,-73.98868
,,11th Avenue,West 64th Street,Manhattan,40.77476,-73.98819
,,11th Avenue,West 65th Street,Manhattan,40.77537,-73.98771
,,11th Avenue,West 66th Street,Manhattan,40.776,-73.98727
,,11th Avenue,West 67th Street,Manhattan,40.77661,-73.98681
,,11th Avenue,West 68th Street,Manhattan,40.77725,-73.98636
,,11th Avenue,West 69th Street,Manhattan,40.77789,-73.98591
,,11th Avenue,West 70th Street,Manhattan,40.77851,-73.98543
,,11th Avenue,West 71st Street,Manhattan,40.77913,-73.98503
,,11th Avenue,Hudson River Railroad Street,Manhattan,40.77226,-73.99
,,Hudson River Railroad Street,West 60th Street,Manhattan,40.77226,-73.99
,,Hudson River Railroad Street,West 61st Street,Manhattan,40.77294,-73.98972
,,Hudson River Railroad Street,West 62nd Street,Manhattan,40.77367,-73.98948
,,Hudson River Railroad Street,West 63rd Street,Manhattan,40.77442,-73.98932
,,Hudson River Railroad Street,West 64th Street,Manhattan,40.77515,-73.98917
,,Hudson River Railroad Street,West 65th Street,Manhattan,40.77586,-73.98893
,,Hudson River Railroad Street,West 66th Street,Manhattan,40.77658,-73.98864
,,Hudson River Railroad Street,West 67th Street,Manhattan,40.77725,-73.9883
,,Hudson River Railroad Street,West 68th Street,Manhattan,40.77793,-73.988
,,Hudson River Railroad Street,West 69th Street,Manhattan,40.77863,-73.98765
,,Hudson River Railroad Street,West 70th Street,Manhattan,40.77927,-73.98733
,,Hudson River Railroad Street,West 71st Street,Manhattan,40.77998,-73.98701
,,Conover Street,Osage Street,Brooklyn,40.675487,-74.017199
,,Osage Street,Vanbrunt Street,Brooklyn,40.674685,-74.016029
,,Osage Street,Richards Street,Brooklyn,40.673704,-74.014609
,,Conover Street,Elizabeth Street,Brooklyn,40.67605,-74.016667
,,Elizabeth Street,Vanbrunt Street,Brooklyn,40.675202,-74.015437
,,Elizabeth Street,Richards Street,Brooklyn,40.674222,-74.013991
,,Doughty Street,Elizabeth Street,Brooklyn,40.702173,-73.994068
,,Elizabeth Street,Fulton Street,Brooklyn,40.702599,-73.993823
,,Ferris Street,Vandyke Street,Brooklyn,40.677577,-74.017527
,,Conover Street,Vandyke Street,Brooklyn,40.676586,-74.016056
,,Vanbrunt Street,Vandyke Street,Brooklyn,40.675732,-74.014805
,,Richards Street,Vandyke Street,Brooklyn,40.67475,-74.013367
,,Ferris Street,Partition Street,Brooklyn,40.678122,-74.016899
,,Conover Street,Partition Street,Brooklyn,40.677098,-74.015396
,,Partition Street,Vanbrunt Street,Brooklyn,40.676259,-74.01417
,,Partition Street,Richards Street,Brooklyn,40.675282,-74.012728
,,Dikeman Street,Vanbrunt Street,Brooklyn,40.676799,-74.013547
,,Vanbrunt Street,Wolcott Street,Brooklyn,40.677335,-74.012918
,,Sullivan Street,Vanbrunt Street,Brooklyn,40.677849,-74.0123
,,King Street,Vanbrunt Street,Brooklyn,40.678389,-74.011674
,,Clinton Wharf,William Street,Brooklyn,40.679779,-74.012266
,,Conover Street,William Street,Brooklyn,40.679779,-74.012266
,,Commercial Wharf,William Street,Brooklyn,40.679779,-74.012266
,,Hudson Street,William Street,Brooklyn,40.679365,-74.011668
,,Vanbrunt Street,William Street,Brooklyn,40.678934,-74.011053
,,Richards Street,William Street,Brooklyn,40.677958,-74.009571
,,Clinton Wharf,Ferris Street,Brooklyn,40.68083,-74.01372
,,Clinton Wharf,Conover Street,Brooklyn,40.679779,-74.012266
,,Clinton Wharf,South Pier Street,Brooklyn,40.681838,-74.0151
,,Commercial Wharf,Conover Street,Brooklyn,40.679779,-74.012266
,,Commercial Wharf,Ewen Street,Brooklyn,40.680844,-74.011027
,,Ewen Street,Hudson Street,Brooklyn,40.680439,-74.010427
,,Ewen Street,Vanbrunt Street,Brooklyn,40.680004,-74.009811
,,Commerce Street,Commercial Wharf,Brooklyn,40.681926,-74.009776
,,Commerce Street,Hudson Street,Brooklyn,40.681516,-74.009182
,,Commerce Street,Vanbrunt Street,Brooklyn,40.681074,-74.008555
,,Seabring Street,Vanbrunt Street,Brooklyn,40.6816,-74.007937
,,Bowne Street,Hudson Street,Brooklyn,40.682566,-74.007937
,,Bowne Street,Vanbrunt Street,Brooklyn,40.682127,-74.007308
,,Bowne Street,Columbia Street,Brooklyn,40.680509,-74.00488
,,Hamilton Avenue,Rapelyea Street,Brooklyn,40.681183000000004,-74.0045915
,,Rapelyea Street,Vanbrunt Street,Brooklyn,40.682642,-74.00668
,,Rapelyea Street,Richards Street,Brooklyn,40.681653,-74.005167
,,Columbia Street,Rapelyea Street,Brooklyn,40.681191,-74.004597
,,Henry Street,Rapelyea Street,Brooklyn,40.680103,-74.00133
,,Hicks Street,Rapelyea Street,Brooklyn,40.680558,-74.002898
,,3rd Place,Smith Street,Brooklyn,40.678254,-73.996113
,,Coles Street,Hicks Street,Brooklyn,40.679301,-74.003501
,,Hamilton Avenue,Luqueer Street,Brooklyn,40.678363,-74.002793
,,Court Street,Luqueer Street,Brooklyn,40.677138,-73.998411
,,Columbia Street,Luqueer Street,Brooklyn,40.679122,-74.005552
,,Luqueer Street,Smith Street,Brooklyn,40.676709,-73.996882
,,Clinton Street,Luqueer Street,Brooklyn,40.677699,-74.000406
,,Henry Street,Luqueer Street,Brooklyn,40.678212,-74.002258
,,Hicks Street,Luqueer Street,Brooklyn,40.678651,-74.003824
,,Henry Street,Nelson Street,Brooklyn,40.677557,-74.002556
,,Clinton Street,Huntington Street,Brooklyn,40.676412,-74.001027
,,Church Street,Hamilton Avenue,Brooklyn,40.675705,-74.001183
,,Church Street,Court Street,Brooklyn,40.675191,-73.999349
,,Church Street,Smith Street,Brooklyn,40.674767,-73.99782
,,Church Street,Clinton Street,Brooklyn,40.675752,-74.001344
,,Church Street,Henry Street,Brooklyn,40.67627,-74.003197
,,Court Street,Mill Street,Brooklyn,40.674548,-73.99966
,,Mill Street,Smith Street,Brooklyn,40.674121,-73.99814
,,Centre Street,Henry Street,Brooklyn,40.674985,-74.003804
,,Commercial Wharf,Hamilton Avenue,Brooklyn,40.684581,-74.006651
,,Hamilton Avenue,Hudson Street,Brooklyn,40.683961,-74.006275
,,Hamilton Avenue,North Pier Street,Brooklyn,40.686132,-74.007788
,,Hamilton Avenue,Vanbrunt Street,Brooklyn,40.683332,-74.005923
,,Caroll Street,Hamilton Avenue,Brooklyn,40.683768,-74.006163
,,Hamilton Avenue,President Street,Brooklyn,40.684725,-74.006733
,,Hamilton Avenue,Union Street,Brooklyn,40.685567,-74.007057
,,Hamilton Avenue,Hicks Street,Brooklyn,40.679424,-74.003462
,,Commercial Wharf,Indian Wharf,Brooklyn,40.683958,-74.007376
,,Commercial Wharf,Summit Street,Brooklyn,40.684036,-74.007282
