photo_id,image
700030f,ocr/large-images/700030bu.jpg
700045f,ocr/large-images/700045bu.jpg
700078f,ocr/large-images/700078bu.jpg
700161f,ocr/large-images/700161bu.jpg
700276f,ocr/large-images/700276bu.jpg
734695f,ocr/large-images/734695bu.jpg
734697f,ocr/large-images/734697bu.jpg
734745f,ocr/large-images/734745bu.jpg
734746f,ocr/large-images/734746bu.jpg
734777f,ocr/large-images/734777bu.jpg
