back_id	Choice
705246b	gpt
702656b	site
702788b	gpt
709370b	site
724323b	gpt
710616b	gpt
726685b	gpt
712014b	site
721501b	gpt
720922b	gpt
727302b	gpt
723158b	gpt
708643b	gpt
727719b	gpt
700207b	site
722494b	gpt
709090b	site
709086b	gpt
727358b	gpt
703589b	gpt
708484b	gpt
731103b	site
720999b	gpt
718250b	gpt
711955b	site
716736b	gpt
703228b	gpt
713556b	gpt
726639b	gpt
707798b	gpt
715103b	gpt
723989b	gpt
702809b	site
709082b	site
700941b	gpt
710915b	gpt
731192b	site
722259b	gpt
713514b	gpt
723079b	gpt
702691b	gpt
702811b	gpt
708251b	site
709207b	site
722660b	gpt
729112b	gpt
715996b	gpt
704186b	gpt
710504b	gpt
712822b	site
709580b	gpt
721233b	gpt
714713b	gpt
733371b	gpt
706287b	gpt
722566b	gpt
707043b	gpt
725096b	gpt
728372b	site
726693b	gpt
714812b	site
724451b	gpt
704802b	gpt
709376b	site
709068b	gpt
719477b	gpt
713404b	gpt
713183b	gpt
731682b	gpt
706888b	gpt
707639b	gpt
720996b	gpt
720468b	gpt
728603b	site
707622b	site
720425b	site
709089b	site
724829b	gpt
718182b	gpt
708271b	gpt
725651b	gpt
718599b	gpt
710665b	site
722379b	gpt
708641b	gpt
723077b	gpt
709141b	gpt
706203b	site
705375b	site
723166b	site
