SPECIFIC_MATERIAL_TYPE,SOURCE_DESCRIPTION,STANDARD_REFERENCE,CREATOR,ITEM_PAGE_PLATE,IMAGE_Permalink,DIGITAL_ID,SOURCE,LOCATION,ALTERNATE_TITLE,PUBLISHED_DATE,RECORD_ID,Borough,Address,Full Address,IMAGE_TITLE,IMG_URL,CREATED_DATE,DEPICTED_DATE,MEDIUM,ITEM_PHYSICAL_DESCRIPTION,CREATED_DATES,ALTERNATE_SOURCE_TITLE
,,1350-B1,,,http://digitalgallery.nypl.org/nypldigital/id?731749f,731749f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Attorney Street - Stanton Street ; 164 Attorney Street .],,421569,,," 164 Attorney Street , Manhattan, N.Y.","Fires, accidents and tragedies - [Building nearly destroyed by fire.]",http://images.nypl.org/index.php?id=731749f&t=w,1904,,,,,
,,1350-A3,,,http://digitalgallery.nypl.org/nypldigital/id?731747f,731747f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Attorney Street - Stanton Street ; 164 Attorney Street.],,421567,,," 164 Attorney Street, Manhattan, N.Y.","Fires, accidents and tragedies - [Building nearly destroyed by fire.]",http://images.nypl.org/index.php?id=731747f&t=w,1904,,,,,
,,1350-A4,,,http://digitalgallery.nypl.org/nypldigital/id?731748f,731748f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Attorney Street - Stanton Street ; 164 Attorney Street.],,421568,,," 164 Attorney Street, Manhattan, N.Y.","Fires, accidents and tragedies - [Building nearly destroyed by fire.]",http://images.nypl.org/index.php?id=731748f&t=w,1904,,,,,
,,1283-A5; 1283-A4,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730332f,730332f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: East Broadway - Rutgers and Jefferson Streets ; 175 East Broadway - The Jewish Daily Forward Building.],,420152,,," 175 East Broadway - The Jewish Daily Forward Building, Manhattan, N.Y.",General view - East Broadway - East.,http://images.nypl.org/index.php?id=730332f&t=w,1930,,,,,
,,1282-F6,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730329f,730329f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway - Between Stone and Beaver Streets ; 2 Broadway.],,420149,,," 2 Broadway, Manhattan, N.Y.",General view - Broadway - Southeast.,http://images.nypl.org/index.php?id=730329f&t=w,1929,,,,,
,,1383-F5; 1383-F4,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?732539f,732539f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 121st Street ; 215 East 121st Street.],,422359,,," 215 East 121st Street, Manhattan, N.Y.",Occupations - Peddlers - Miscellaneous - Clothing - Food.,http://images.nypl.org/index.php?id=732539f&t=w,1934,,,,,
,,1379-B5,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?732419f,732419f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 1st Avenue - Between 111th and 112th Streets ; 21611st  Avenue.],,422239,,," 21611st  Avenue, Manhattan, N.Y.",Occupations - Peddlers - Food - Fish - Seafood.,http://images.nypl.org/index.php?id=732419f&t=w,1936,,,,,
,,1378-B5; 1378-B7; 1378-B6,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?732396f,732396f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 1st Avenue - 116th Street ; 2265 1st Avenue.],,422216,,," 2265 1st Avenue, Manhattan, N.Y.",Occupations - Peddlers - Foodstuffs - Cheese.,http://images.nypl.org/index.php?id=732396f&t=w,1936,,,,,
,,1372-C5,,,http://digitalgallery.nypl.org/nypldigital/id?732259f,732259f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 43rd Street (West) ; 229 West 43rd Street.],,422079,,," 229 West 43rd Street, Manhattan, N.Y.",Newspapers - The New York Times - Buildings.,http://images.nypl.org/index.php?id=732259f&t=w,n.d,,,,,
,,1372-D1,,,http://digitalgallery.nypl.org/nypldigital/id?732260f,732260f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 43rd Street (West) ; 229 West 43rd Street.],,422080,,," 229 West 43rd Street, Manhattan, N.Y.",Newspapers - The New York Times - Buildings.,http://images.nypl.org/index.php?id=732260f&t=w,n.d,,,,,
,,1372-D2,,,http://digitalgallery.nypl.org/nypldigital/id?732261f,732261f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 43rd Street (West) ; 229 West 43rd Street.],,422081,,," 229 West 43rd Street, Manhattan, N.Y.",Newspapers - The New York Times - Buildings.,http://images.nypl.org/index.php?id=732261f&t=w,n.d,,,,,
,,1282-F5,"Brown Brothers (New York, N.Y.)--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730328f,730328f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway - Barclay Street - Park Place ; 229-237 Broadway - Woolworth Building.],,420148,,," 229-237 Broadway - Woolworth Building, Manhattan, N.Y.",General view - Broadway - East.,http://images.nypl.org/index.php?id=730328f&t=w,1920,,,,,
,,1416-A3,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?733286f,733286f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway (West) ; 2323 Broadway.],,423106,,," 2323 Broadway, Manhattan, N.Y.",Street furniture - Fire hydrants.,http://images.nypl.org/index.php?id=733286f&t=w,1921,,,,,
,,1345-C6; 1345-C8; 1345-C7,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?731658f,731658f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 111th Street (East) ; 239 East 111th Street.],,421478,,," 239 East 111th Street, Manhattan, N.Y.",Feast of Our Lady of Mount Carmel.,http://images.nypl.org/index.php?id=731658f&t=w,"1937; 

							

								July 1937",,,,,
,,1426-D2,,,http://digitalgallery.nypl.org/nypldigital/id?733549f,733549f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway ; 2471 Broadway.],,423369,,," 2471 Broadway, Manhattan, N.Y.",Trees.,http://images.nypl.org/index.php?id=733549f&t=w,1921,,,,,
,,1349-B1,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?731741f,731741f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Elizabeth Street ; 248 Elizabeth Street.],,421561,,," 248 Elizabeth Street, Manhattan, N.Y.",Feast of Santa Fortunata.,http://images.nypl.org/index.php?id=731741f&t=w,1929,,,,,
,,1347-C7; 1347-C6,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?731702f,731702f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Elizabeth Street ; 258 Elizabeth Street.],,421522,,," 258 Elizabeth Street, Manhattan, N.Y.",Feast of San Rocco [Saint Roch].,http://images.nypl.org/index.php?id=731702f&t=w,1929,,,,,
,,1416-A1,,,http://digitalgallery.nypl.org/nypldigital/id?733284f,733284f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway (West) ; 2612 Broadway.],,423104,,," 2612 Broadway, Manhattan, N.Y.",Street furniture - Fire hydrants.,http://images.nypl.org/index.php?id=733284f&t=w,1921,,,,,
,,1426-D1,,,http://digitalgallery.nypl.org/nypldigital/id?733548f,733548f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway (South) ; 2626 Broadway.],,423368,,," 2626 Broadway, Manhattan, N.Y.",Trees.,http://images.nypl.org/index.php?id=733548f&t=w,1921,,,,,
,,1416-A2,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?733285f,733285f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Broadway ; 2671 Broadway.],,423105,,," 2671 Broadway, Manhattan, N.Y.",Street furniture - Fire hydrants.,http://images.nypl.org/index.php?id=733285f&t=w,1921,,,,,
,,1416-B5,,,http://digitalgallery.nypl.org/nypldigital/id?733291f,733291f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 10th Avenue - 27th Street ; 268 10th Avenue.],,423111,,," 268 10th Avenue, Manhattan, N.Y.",Street scenes - Book shop.,http://images.nypl.org/index.php?id=733291f&t=w,1930?,,,,,
,,1400-B8,New York World--Photographer,,http://digitalgallery.nypl.org/nypldigital/id?732924f,732924f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 44-48 Gouverneur Street - Monroe Street ; 31 Scammer Street.],,422744,,," 31 Scammer Street, Manhattan, N.Y.",Social conditions - [Rear view of buildings.],http://images.nypl.org/index.php?id=732924f&t=w,1923?,,,,,
,,1400-B9,New York World--Photographer,,http://digitalgallery.nypl.org/nypldigital/id?732925f,732925f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 44-48 Gouverneur Street - Monroe Street ; 31 Scammer Street.],,422745,,," 31 Scammer Street, Manhattan, N.Y.",Social conditions - [Rear view of buildings.],http://images.nypl.org/index.php?id=732925f&t=w,1923?,,,,,
photomechanical_prints,1 v. (various pagings) illus. 29 x 34 cm.,,,140,http://digitalgallery.nypl.org/nypldigital/id?417379,417379,"The World's loose leaf album of apartment houses, containing views and ground plans of the principal high class apartment houses in New York City, together with a map showing the situation of these houses, transportation facilities, etc.","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",,,243279,,," 310-314 West Ninety-ninth Street, between Riverside Drive and West End Avenue., Manhattan, NY","Buckingham Court. Nos. 310-314 West Ninety-ninth Street, between Riverside Drive and West End Avenue.",http://images.nypl.org/index.php?id=417379&t=w,,,,,,
,,1383-C9,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?732525f,732525f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 126th Street ; 318 West 126th Street.],,422345,,," 318 West 126th Street, Manhattan, N.Y.",Occupations - Peddlers - Junkman.,http://images.nypl.org/index.php?id=732525f&t=w,1934,,,,,
