"uuid","identifier_value"
"6a50bc00-c53a-012f-0ee0-58d385a7bc34","707781F"
"66a6b030-c53a-012f-31c2-58d385a7bc34","707772F"
"6a9f4840-c53a-012f-d39d-58d385a7bc34","707782F"
"6716d560-c53a-012f-d879-58d385a7bc34","707773F"
"6a9f4840-c53a-012f-d39d-58d385a7bc34","707782B"
"6716d560-c53a-012f-d879-58d385a7bc34","707773B"
"6b16e800-c53a-012f-de69-58d385a7bc34","707783F"
"67689e90-c53a-012f-1d73-58d385a7bc34","707774F"
"6b16e800-c53a-012f-de69-58d385a7bc34","707783B"
"67689e90-c53a-012f-1d73-58d385a7bc34","707774B"
"6c528070-c53a-012f-d353-58d385a7bc34","707786F"
"67df3b00-c53a-012f-569f-58d385a7bc34","707775F"
"6d2d3bb0-c53a-012f-1795-58d385a7bc34","707788B"
"68571fb0-c53a-012f-a915-58d385a7bc34","707776F"
"6daa92e0-c53a-012f-a1c3-58d385a7bc34","707789F"
"68571fb0-c53a-012f-a915-58d385a7bc34","707776B"
"6daa92e0-c53a-012f-a1c3-58d385a7bc34","707789B"
"68a81d80-c53a-012f-f3bc-58d385a7bc34","707777B"
"6e00fb00-c53a-012f-021d-58d385a7bc34","707790B"
"69138f20-c53a-012f-3d4c-58d385a7bc34","707778F"
"4a00b550-c53b-012f-5271-58d385a7bc34","708317F"
"452e9440-c53b-012f-078e-58d385a7bc34","708301F"
"452e9440-c53b-012f-078e-58d385a7bc34","708301B"
"458e12b0-c53b-012f-3e2c-58d385a7bc34","708305B"
"4689ff10-c53b-012f-738c-58d385a7bc34","708307F"
"4a00b550-c53b-012f-5271-58d385a7bc34","708317B"
"476b6210-c53b-012f-6c5b-58d385a7bc34","708311F"
"4a6c42f0-c53b-012f-19ff-58d385a7bc34","708318B"
"476b6210-c53b-012f-6c5b-58d385a7bc34","708311B"
"4ab6f280-c53b-012f-ab84-58d385a7bc34","708319B"
"47f249e0-c53b-012f-c853-58d385a7bc34","708312B"
"4b725d30-c53b-012f-7f74-58d385a7bc34","708321F"
"484bbfb0-c53b-012f-32a9-58d385a7bc34","708313B"
"48c7e5d0-c53b-012f-883e-58d385a7bc34","708314F"
"4be2e5c0-c53b-012f-597a-58d385a7bc34","708322B"
"49409c60-c53b-012f-25d2-58d385a7bc34","708315F"
"4c536ea0-c53b-012f-e94c-58d385a7bc34","708323F"
"49954340-c53b-012f-a357-58d385a7bc34","708316F"
"2b4033e0-c53c-012f-72a3-58d385a7bc34","708869B"
"2c02e760-c53c-012f-8b69-58d385a7bc34","708871B"
"2c527870-c53c-012f-4cdd-58d385a7bc34","708872F"
"2c527870-c53c-012f-4cdd-58d385a7bc34","708872B"
"2cb9a0c0-c53c-012f-46eb-58d385a7bc34","708873B"
"2d09baa0-c53c-012f-94c8-58d385a7bc34","708874B"
"2d7a2050-c53c-012f-384b-58d385a7bc34","708875B"
"2de7c4a0-c53c-012f-79b3-58d385a7bc34","708876B"
"2e33b7c0-c53c-012f-7d9c-58d385a7bc34","708877B"
"2f6889d0-c53c-012f-4cf4-58d385a7bc34","708880B"
"2fd6f070-c53c-012f-255b-58d385a7bc34","708881F"
"3097b190-c53c-012f-cdc4-58d385a7bc34","708883B"
