judgment,notes,photo_id,title,url
Meh,,731974f-b,Islands - Coney Island - [Riegelmann boardwalk - Whitney Baths.],http://digitalgallery.nypl.org/nypldigital/id?731974f
Meh,,728652f-a,Richmond: Castleton Avenue - Clove Road,http://digitalgallery.nypl.org/nypldigital/id?728652f
Great,windows out,721711f-a,Manhattan: Morningside Avenue - 117th Street (West),http://digitalgallery.nypl.org/nypldigital/id?721711f
Meh,,721553f-c,Manhattan: Madison Street - Jackson Street,http://digitalgallery.nypl.org/nypldigital/id?721553f
Meh,,710520f-d,Manhattan: 10th Avenue - 29th Street (West),http://digitalgallery.nypl.org/nypldigital/id?710520f
Meh,,1508773-a,"Fifth Avenue - 40th Street - 42nd Street, west side",http://digitalgallery.nypl.org/nypldigital/id?1508773
Meh,,710310f-a,Manhattan: 9th Avenue - 14th Street,http://digitalgallery.nypl.org/nypldigital/id?710310f
Meh,,702733f-b,Brooklyn: 36th Street (East) - Fillmore Avenue,http://digitalgallery.nypl.org/nypldigital/id?702733f
Meh,,705088f-c,Brooklyn: Jamaica Avenue - Ashford Street,http://digitalgallery.nypl.org/nypldigital/id?705088f
Great,,722991f-a,Manhattan: Rivington Street - Columbia Street,http://digitalgallery.nypl.org/nypldigital/id?722991f
Meh,,729592f-a,Richmond: St. Marks Place - Westervelt Avenue,http://digitalgallery.nypl.org/nypldigital/id?729592f
Meh,,1509559-a,Court Street - Carroll Street looking north,http://digitalgallery.nypl.org/nypldigital/id?1509559
