judgment,notes,photo_id,title,url
Meh,,724723f-a,Manhattan: West Street - 10th Street (West),http://digitalgallery.nypl.org/nypldigital/id?724723f
Meh,,703629f-a,Brooklyn: Clermont Avenue - Myrtle Avenue,http://digitalgallery.nypl.org/nypldigital/id?703629f
Meh,,716181f-a,Manhattan: Amsterdam Avenue - Cathedral Parkway,http://digitalgallery.nypl.org/nypldigital/id?716181f
Great,,718806f-a,Manhattan: Canal Street - Chrystie Street,http://digitalgallery.nypl.org/nypldigital/id?718806f
Great,,733360f-c,"Thanksgiving ragamuffins, No.31-33.",http://digitalgallery.nypl.org/nypldigital/id?733360f
Meh,,716501f-a,Manhattan: Battery Park at Ellis Island Ferry House.,http://digitalgallery.nypl.org/nypldigital/id?716501f
Meh,,732938f-d,Social conditions - Housing - Views of tenements in poor neighborhoods of Manhattan.,http://digitalgallery.nypl.org/nypldigital/id?732938f
Meh,,715790f-a,Manhattan: 181st Street (West) - Northern Avenue,http://digitalgallery.nypl.org/nypldigital/id?715790f
Meh,,703838f-b,Brooklyn: Court Street - Joralemon Street,http://digitalgallery.nypl.org/nypldigital/id?703838f
Meh,,1558265,West 56th Street - Sixth Avenue (southwest corner),http://digitalgallery.nypl.org/nypldigital/id?1558265
Meh,,712080f-a,Manhattan: 34th Street - East River Drive,http://digitalgallery.nypl.org/nypldigital/id?712080f
Meh,,731633f-a,Feast of Our Lady of Mount Carmel.,http://digitalgallery.nypl.org/nypldigital/id?731633f
Meh,,726463f-a,Queens: Cypress Hills Street - 60th Lane,http://digitalgallery.nypl.org/nypldigital/id?726463f
Great,,714080f-b,Manhattan: 61st Street (East) - Avenue A,http://digitalgallery.nypl.org/nypldigital/id?714080f
Great,,720330f-a,Manhattan: Hanover Street - Wall Street,http://digitalgallery.nypl.org/nypldigital/id?720330f
Meh,,728126f-a,Queens: Union Turnpike - 135th Street,http://digitalgallery.nypl.org/nypldigital/id?728126f
Meh,,733635f-a,Arthur Kill - Old Hill Place - Staten Island [Richmond.],http://digitalgallery.nypl.org/nypldigital/id?733635f
Meh,,721152f-a,Manhattan: MacDougal Alley - MacDougal Street,http://digitalgallery.nypl.org/nypldigital/id?721152f
Meh,,707927f-b,Manhattan: 2nd Avenue - 79th Street,http://digitalgallery.nypl.org/nypldigital/id?707927f
Meh,,722966f-b,Manhattan: 143rd Street (West) - 84th Drive,http://digitalgallery.nypl.org/nypldigital/id?722966f
Meh,,705865f-a,Brooklyn: Neck Road - 2nd Street (East),http://digitalgallery.nypl.org/nypldigital/id?705865f
Meh,,704300f-c,Brooklyn: Flatbush Avenue - 34th Street (East),http://digitalgallery.nypl.org/nypldigital/id?704300f
Meh,,716974f-a,Manhattan: Broadway - Morris Street,http://digitalgallery.nypl.org/nypldigital/id?716974f
Meh,,734398f-a,Mill Creek - Staten Island [Richmond.],http://digitalgallery.nypl.org/nypldigital/id?734398f
